id_sinistro,id_apolice,data_ocorrencia,tipo_sinistro,valor_reclamado,grande_monta
3000,2000,2025-07-15,Colisão,23277.44,0
3001,2001,2025-11-17,Colisão,19418.3,0
3002,2002,2025-06-14,Colisão,24195.0,0
3003,2003,2025-09-12,Alagamento,29514.96,0
3004,2004,2025-08-29,Colisão,18835.53,0
3005,2005,2025-07-24,Colisão,18835.63,0
3006,2006,2026-04-02,Alagamento,29856.41,0
3007,2007,2025-12-17,Roubo,24922.76,0
3008,2008,2025-05-16,Colisão,17405.34,0
3009,2009,2025-10-28,Alagamento,23556.07,0
3010,2010,2025-08-31,Alagamento,17442.15,0
3011,2011,2025-04-14,Alagamento,17428.1,1
3012,2012,2025-06-25,Colisão,21729.16,0
3013,2013,2025-08-25,Alagamento,8630.49,0
3014,2014,2025-09-19,Alagamento,9775.28,0
3015,2015,2026-03-20,Alagamento,16841.26,0
3016,2016,2025-11-19,Alagamento,14103.05,0
3017,2017,2025-04-28,Alagamento,22168.48,0
3018,2018,2025-06-20,Alagamento,14740.02,0
3019,2019,2026-01-04,Roubo,11675.22,0
3020,2020,2025-08-12,Colisão,29166.22,0
3021,2021,2026-03-19,Roubo,18886.44,0
3022,2022,2025-10-22,Alagamento,20669.02,0
3023,2023,2026-03-04,Alagamento,11599.59,0
3024,2024,2025-05-15,Colisão,16950.08,0
3025,2025,2026-04-13,Colisão,20932.75,0
3026,2026,2025-08-14,Alagamento,13263.35,0
3027,2027,2025-11-30,Roubo,22541.95,0
3028,2028,2026-01-22,Alagamento,16608.18,0
3029,2029,2025-04-26,Colisão,18485.82,0
3030,2030,2025-10-22,Colisão,16601.69,0
3031,2031,2025-10-01,Alagamento,31515.99,0
3032,2032,2025-10-01,Roubo,20176.58,0
3033,2033,2026-03-09,Alagamento,13830.29,0
3034,2034,2026-01-25,Roubo,25257.7,0
3035,2035,2025-10-08,Roubo,12838.83,0
3036,2036,2025-10-30,Colisão,21528.0,0
3037,2037,2025-07-18,Roubo,8348.55,0
3038,2038,2025-07-19,Colisão,12186.45,0
3039,2039,2025-05-11,Colisão,21455.05,0
3040,2040,2025-12-19,Alagamento,24746.71,0
3041,2041,2025-06-30,Colisão,21300.12,0
3042,2042,2025-05-21,Colisão,19555.75,0
3043,2043,2025-11-15,Roubo,18428.63,0
3044,2044,2025-10-29,Colisão,11272.77,0
3045,2045,2025-12-20,Alagamento,15883.7,1
3046,2046,2026-01-07,Roubo,17459.04,0
3047,2047,2025-12-03,Colisão,26683.36,0
3048,2048,2025-12-31,Colisão,22346.98,0
3049,2049,2026-02-28,Colisão,9543.59,0
3050,2050,2025-10-01,Roubo,22228.26,0
3051,2051,2025-07-08,Alagamento,17918.24,0
3052,2052,2025-08-22,Roubo,16144.56,0
3053,2053,2025-08-12,Alagamento,23976.13,0
3054,2054,2025-09-07,Roubo,26524.6,0
3055,2055,2025-12-05,Colisão,25918.55,0
3056,2056,2025-11-19,Colisão,15158.2,0
3057,2057,2025-05-17,Alagamento,18379.35,0
3058,2058,2025-12-30,Alagamento,22271.89,0
3059,2059,2025-07-15,Colisão,26187.57,0
3060,2060,2025-09-09,Colisão,17346.39,0
3061,2061,2025-04-20,Roubo,19130.26,0
3062,2062,2025-10-27,Roubo,13534.77,0
3063,2063,2025-05-03,Roubo,12988.57,0
3064,2064,2025-07-08,Colisão,25196.81,0
3065,2065,2025-04-27,Alagamento,28501.28,0
3066,2066,2025-12-20,Alagamento,19820.97,0
3067,2067,2026-01-11,Colisão,26357.67,0
3068,2068,2025-08-13,Colisão,22456.49,0
3069,2069,2025-12-19,Alagamento,16337.84,0
3070,2070,2025-11-17,Roubo,22455.03,0
3071,2071,2025-05-31,Colisão,29606.16,0
3072,2072,2026-03-12,Alagamento,20040.88,0
3073,2073,2025-08-28,Roubo,29767.87,0
3074,2074,2025-09-08,Alagamento,6077.58,0
3075,2075,2025-06-06,Roubo,25253.8,0
3076,2076,2025-07-21,Roubo,20787.65,0
3077,2077,2025-06-29,Roubo,18441.37,0
3078,2078,2025-05-08,Alagamento,20816.3,0
3079,2079,2026-01-08,Alagamento,8179.0,0
3080,2080,2025-12-08,Colisão,18923.54,0
3081,2081,2025-11-07,Alagamento,22429.0,0
3082,2082,2025-07-25,Alagamento,29240.64,0
3083,2083,2025-09-25,Colisão,17108.78,0
3084,2084,2025-09-10,Colisão,15344.93,0
3085,2085,2025-12-31,Colisão,17209.14,0
3086,2086,2025-06-09,Alagamento,25822.05,0
3087,2087,2025-07-15,Alagamento,22256.63,1
3088,2088,2026-01-20,Alagamento,17038.95,0
3089,2089,2025-07-21,Roubo,23378.04,0
3090,2090,2025-06-27,Colisão,20848.61,0
3091,2091,2025-08-30,Roubo,26145.63,0
3092,2092,2025-12-15,Roubo,15991.83,0
3093,2093,2026-02-03,Colisão,18267.22,0
3094,2094,2025-10-18,Alagamento,17875.54,0
3095,2095,2025-10-21,Colisão,11363.98,0
3096,2096,2025-05-09,Roubo,22058.31,0
3097,2097,2025-12-22,Colisão,21845.2,0
3098,2098,2026-04-15,Alagamento,20289.69,0
3099,2099,2026-03-02,Colisão,18832.89,0
3100,2100,2026-02-19,Colisão,11656.58,0
3101,2101,2025-06-03,Roubo,17702.11,0
3102,2102,2025-11-28,Colisão,18175.74,0
3103,2103,2026-01-05,Colisão,15382.71,0
3104,2104,2026-01-05,Alagamento,19278.39,0
3105,2105,2025-07-31,Alagamento,22714.27,0
3106,2106,2026-03-07,Roubo,31722.07,0
3107,2107,2025-10-03,Alagamento,21319.62,0
3108,2108,2025-05-07,Alagamento,21823.9,0
3109,2109,2026-01-01,Alagamento,19806.16,0
3110,2110,2026-01-31,Colisão,8597.12,0
3111,2111,2026-02-15,Alagamento,20097.47,0
3112,2112,2026-01-28,Alagamento,20624.67,0
3113,2113,2026-02-01,Colisão,35229.17,0
3114,2114,2025-07-17,Alagamento,19089.52,0
3115,2115,2025-05-18,Colisão,22091.29,0
3116,2116,2026-01-12,Colisão,20047.65,0
3117,2117,2025-06-21,Alagamento,13155.87,0
3118,2118,2026-04-04,Roubo,27204.22,0
3119,2119,2025-04-26,Roubo,24828.55,0
3120,2120,2025-04-24,Alagamento,25066.18,0
3121,2121,2026-03-13,Roubo,14731.73,1
3122,2122,2025-12-13,Colisão,28784.21,0
3123,2123,2025-07-19,Colisão,11738.75,0
3124,2124,2025-12-14,Roubo,23825.29,0
3125,2125,2026-05-01,Alagamento,33571.29,0
3126,2126,2025-04-20,Alagamento,14238.55,0
3127,2127,2025-09-15,Roubo,16816.89,0
3128,2128,2025-09-06,Roubo,20864.25,0
3129,2129,2025-12-13,Colisão,17198.7,0
3130,2130,2025-10-16,Colisão,10834.33,0
3131,2131,2025-10-18,Alagamento,20675.31,0
3132,2132,2025-04-16,Alagamento,13802.37,0
3133,2133,2026-01-25,Colisão,23136.91,1
3134,2134,2025-11-03,Roubo,14670.74,0
3135,2135,2025-07-24,Alagamento,29678.47,0
3136,2136,2025-07-31,Roubo,15498.33,0
3137,2137,2025-07-21,Colisão,18301.26,0
3138,2138,2025-11-15,Roubo,25202.83,0
3139,2139,2025-10-14,Colisão,12777.93,0
3140,2140,2025-05-23,Colisão,21641.02,0
3141,2141,2026-01-01,Roubo,28202.88,0
3142,2142,2026-04-11,Roubo,10489.0,0
3143,2143,2025-09-13,Colisão,21380.74,0
3144,2144,2025-12-04,Alagamento,21838.07,0
3145,2145,2026-03-07,Colisão,25010.21,0
3146,2146,2026-03-03,Roubo,12740.94,0
3147,2147,2025-08-24,Roubo,12233.43,0
3148,2148,2026-02-24,Colisão,23430.76,0
3149,2149,2026-03-25,Roubo,22063.56,0
3150,2150,2026-01-06,Roubo,21781.0,1
3151,2151,2025-10-09,Colisão,22364.18,0
3152,2152,2025-05-01,Colisão,16125.71,0
3153,2153,2025-05-04,Roubo,21670.15,0
3154,2154,2026-01-31,Roubo,22039.79,0
3155,2155,2025-12-09,Roubo,15917.08,0
3156,2156,2025-10-09,Roubo,31598.02,0
3157,2157,2026-02-05,Alagamento,23138.37,0
3158,2158,2025-11-20,Alagamento,13018.37,0
3159,2159,2025-07-30,Alagamento,24248.87,0
3160,2160,2026-02-03,Alagamento,14334.9,0
3161,2161,2025-10-13,Alagamento,25042.19,0
3162,2162,2025-11-04,Roubo,27300.08,0
3163,2163,2025-06-11,Colisão,15270.85,0
3164,2164,2025-10-24,Alagamento,26113.61,0
3165,2165,2026-01-27,Colisão,22767.32,0
3166,2166,2026-02-12,Colisão,25254.75,0
3167,2167,2026-02-01,Colisão,31786.53,1
