id_veiculo,valor_fipe,tipo_veiculo
1000,57450.71,Utilitário
1001,47926.04,Moto
1002,59715.33,Utilitário
1003,72845.45,Utilitário
1004,46487.7,Moto
1005,46487.95,Passeio
1006,73688.19,Passeio
1007,61511.52,Moto
1008,42957.88,Moto
1009,58138.4,Utilitário
1010,43048.73,Passeio
1011,43014.05,Passeio
1012,53629.43,Utilitário
1013,21300.8,Utilitário
1014,24126.23,Utilitário
1015,41565.69,Utilitário
1016,34807.53,Moto
1017,54713.71,Moto
1018,36379.64,Utilitário
1019,28815.44,Passeio
1020,71984.73,Passeio
1021,46613.36,Passeio
1022,51012.92,Passeio
1023,28628.78,Passeio
1024,41834.26,Utilitário
1025,51663.84,Passeio
1026,32735.1,Moto
1027,55635.47,Moto
1028,40990.42,Passeio
1029,45624.59,Moto
1030,40974.4,Utilitário
1031,77784.17,Passeio
1032,49797.54,Utilitário
1033,34134.34,Moto
1034,62338.17,Passeio
1035,31687.35,Utilitário
1036,53132.95,Utilitário
1037,20604.95,Utilitário
1038,30077.21,Utilitário
1039,52952.92,Utilitário
1040,61077.0,Moto
1041,52570.52,Passeio
1042,48265.28,Utilitário
1043,45483.44,Utilitário
1044,27822.17,Moto
1045,39202.34,Passeio
1046,43090.42,Passeio
1047,65856.83,Passeio
1048,55154.27,Passeio
1049,23554.4,Passeio
1050,54861.26,Moto
1051,44223.77,Utilitário
1052,39846.17,Passeio
1053,59175.14,Passeio
1054,65464.99,Utilitário
1055,63969.2,Utilitário
1056,37411.74,Passeio
1057,45361.81,Moto
1058,54968.95,Utilitário
1059,64633.18,Utilitário
1060,42812.39,Moto
1061,47215.12,Utilitário
1062,33404.98,Utilitário
1063,32056.9,Passeio
1064,62187.89,Utilitário
1065,70343.6,Utilitário
1066,48919.85,Moto
1067,65052.99,Utilitário
1068,55424.54,Moto
1069,40323.2,Moto
1070,55420.93,Moto
1071,73070.55,Utilitário
1072,49462.61,Moto
1073,73469.65,Passeio
1074,15000.0,Utilitário
1075,62328.54,Utilitário
1076,51305.71,Moto
1077,45514.89,Moto
1078,51376.41,Moto
1079,20186.47,Moto
1080,46704.92,Passeio
1081,55356.69,Utilitário
1082,72168.41,Moto
1083,42225.95,Passeio
1084,37872.6,Moto
1085,42473.64,Passeio
1086,63731.03,Utilitário
1087,54931.27,Passeio
1088,42053.6,Moto
1089,57699.01,Utilitário
1090,51456.16,Moto
1091,64529.67,Utilitário
1092,39469.2,Moto
1093,45085.07,Passeio
1094,44118.38,Utilitário
1095,28047.28,Passeio
1096,54441.8,Passeio
1097,53915.83,Moto
1098,50076.7,Utilitário
1099,46481.19,Passeio
1100,28769.44,Moto
1101,43690.32,Moto
1102,44859.28,Passeio
1103,37965.84,Passeio
1104,47580.71,Passeio
1105,56060.76,Moto
1106,78292.79,Utilitário
1107,52618.67,Moto
1108,53863.26,Passeio
1109,48883.31,Moto
1110,21218.43,Utilitário
1111,49602.29,Moto
